Em0tion,Word,Num
good,其实,1
good,好吃,2
sad,不行,1
disgust,过分,1
good,干净,1
good,鲜嫩,1
good,肯定,1
fear,厉害,1
happy,起来,1
disgust,麻烦,1
good,确实,1
good,均匀,1
good,完美,2
disgust,失败,1
good,好吃,3
happy,起来,1
good,均匀,3
good,干净,2
good,好吃,1
good,满意,2
happy,起来,1
disgust,多余,1
good,入味,1
good,确实,1
good,新鲜,2
good,干净,1
good,好吃,1
good,实在,1
good,无比,1
happy,进展,1
good,师傅,3
good,一定,1
disgust,严重,1
good,好吃,3
good,实在,1
good,入味,1
good,一定,1
good,确实,2
fear,不好意思,1
good,均匀,3
disgust,包子,2
good,好吃,1
disgust,复杂,1
good,热火,1
good,均匀,2
good,下饭,1
good,好吃,1
good,肯定,2
good,不愧,1
happy,起来,1
good,入味,2
good,一定,1
happy,发财,1
good,均匀,1
anger,变色,1
good,必须,1
good,入味,1
good,师傅,1
good,喜欢,2
disgust,干瘪,1
good,饱满,1
good,不错,1
good,好吃,5
good,实在,1
happy,起来,2
good,认真,1
good,特产,1
good,一定,1
disgust,搅和,1
good,均匀,6
good,好吃,2
good,点缀,1
happy,起来,1
disgust,大胆,1
good,入味,1
good,师傅,1
good,新鲜,1
good,均匀,1
good,好吃,3
good,浓郁,1
happy,起来,2
good,必须,1
good,一定,1
good,干净,4
good,好吃,1
good,实在,1
disgust,复杂,1
happy,起来,1
good,好吃,3
good,实在,1
disgust,抵触,1
disgust,失败,1
good,干净,3
good,好吃,4
good,醇香,1
good,可口,1
good,完美,1
good,浓郁,1
good,美好,1
good,鲜美,1
disgust,不了,1
good,别提,1
good,喜欢,1
good,丰富,1
good,一定,2
good,一级,1
good,金针,1
good,干净,1
good,好吃,4
disgust,土匪,1
good,入味,2
good,一定,2
good,好吃,2
good,肯定,1
good,实在,1
sad,后悔,1
good,喜欢,1
good,丰富,2
good,一定,2
good,确实,2
happy,轻松,1
disgust,包子,1
good,好吃,3
good,实在,1
disgust,复杂,1
happy,起来,1
good,确实,1
good,均匀,6
good,好吃,4
good,实在,1
good,完美,1
happy,起来,2
good,认真,1
good,一定,1
good,均匀,2
good,朋友,1
good,干净,1
good,好吃,2
good,帮助,1
good,浓郁,1
good,入味,1
good,一定,1
good,确实,1
happy,舒服,1
sad,焦黄,1
disgust,废话,1
happy,愿意,1
good,喜欢,2
good,健康,1
good,肯定,1
good,实在,1
good,其实,1
good,好吃,2
good,帮助,1
good,独特,1
good,精髓,1
good,师傅,1
disgust,瞎说,1
good,均匀,3
good,其实,1
good,好吃,1
good,帮助,1
good,无比,1
happy,起来,1
good,认真,1
good,一定,1
good,品味,1
good,精确,1
good,均匀,4
happy,开胃,2
good,其实,1
good,好吃,2
good,重要,1
happy,起来,1
good,爽口,1
good,感谢,1
disgust,麻烦,1
good,好吃,2
good,实在,1
sad,身后,1
happy,起来,4
good,喜欢,1
good,一定,1
good,确实,1
happy,互通,1
good,均匀,1
happy,舒服,1
happy,开胃,1
anger,肝火,1
good,最好,1
good,鲜美,1
good,师傅,1
good,一定,1
good,干净,2
good,好吃,2
good,肯定,1
good,清平,2
good,相信,1
happy,起来,1
good,师傅,1
good,一定,1
good,均匀,1
good,好吃,1
good,葱白,1
happy,起来,1
good,一定,1
good,快速,1
good,均匀,3
happy,香甜,2
good,好吃,1
good,实在,1
good,老一辈,1
happy,起来,1
good,细腻,1
good,流行,1
happy,吉利,1
good,一定,1
good,均匀,1
good,下饭,1
good,好吃,2
good,帮助,1
good,完美,1
happy,起来,1
good,入味,1
good,一定,1
good,干净,1
good,好吃,2
good,入味,1
good,一定,1
sad,焦黄,1
good,下饭,3
good,其实,1
good,好吃,2
good,亲自,1
happy,激发,1
disgust,众口难调,1
good,一流,1
good,认真,1
good,师傅,1
good,美味,1
good,均匀,1
happy,大好,1
good,干净,1
good,学习,1
good,好吃,2
good,鲜美,1
fear,致命,1
happy,放心,2
good,一定,1
good,确实,1
disgust,废话,1
disgust,缺点,3
good,好吃,1
anger,揉搓,2
good,详细,1
good,喜欢,1
good,一定,1
disgust,不好,1
good,均匀,2
good,健康,1
good,好吃,3
disgust,不够,1
good,无比,1
good,鲜美,1
happy,起来,1
good,入味,1
good,丰富,1
good,一定,1
good,均匀,3
good,干净,2
good,好吃,1
good,可口,1
happy,起来,1
good,干净,1
good,完美,2
good,无比,1
good,鲜美,1
good,认真,1
good,勤快,1
good,入味,2
good,师傅,1
good,一定,1
good,均匀,1
good,上劲,1
good,干净,2
good,好吃,2
good,醇香,1
good,拿手,1
good,至上,1
happy,起来,3
good,清爽,1
good,清爽,1,happy,清爽,1
good,师傅,1
good,不错,1
good,好吃,2
good,入骨,1
happy,热闹,2
sad,悲剧,1
happy,惊喜,1
good,均匀,3
good,下酒,1
good,干净,1
good,好吃,3
disgust,复杂,2
good,无比,1
good,详细,1
good,喜欢,1
good,师傅,1
good,一定,3
good,好吃,2
happy,起来,1
anger,上火,3
good,均匀,1
disgust,过头,1
good,好人,1
good,好人,1,disgust,好人,1
good,至上,1
good,相信,1
good,认真,1
good,入味,1
good,适口,1
good,一定,1
good,均匀,2
good,好吃,4
good,完美,1
good,无比,1
happy,起来,1
good,别提,1
disgust,失败,1
good,特产,1
good,入味,1
good,一定,2
good,快速,1
good,确实,1
good,均匀,1
good,最好,1
good,其实,1
good,好吃,2
good,帮助,1
anger,揉搓,2
happy,起来,1
good,喜欢,3
good,均匀,2
good,朋友,1
good,配合,1
good,相信,1
sad,怀念,1
happy,起来,1
sad,情感,1
good,好吃,5
good,鲜嫩,2
disgust,大胆,1
good,入味,2
good,真诚,2
good,美味,1
good,新鲜,1
good,均匀,2
good,不错,1
good,好吃,2
good,干净,3
good,其实,1
disgust,不够,2
disgust,胡说,1
disgust,稀里糊涂,1
happy,起来,1
good,一定,1
good,新鲜,1
surprise,原来,1
good,最好,1
good,好吃,1
disgust,复杂,1
disgust,勉强,1
disgust,不了,1
good,师傅,1
good,最好,2
good,好吃,1
disgust,不够,1
good,清爽,1
good,清爽,1,happy,清爽,1
good,丰富,1
good,严格,1
good,真正,1
good,一定,2
good,讲究,1
good,回味,1
good,均匀,4
good,好吃,4
disgust,抑郁,1
good,必须,1
good,一定,1
good,均匀,5
good,冷静,1
good,好吃,1
good,喜欢,1
good,干净,2
good,仔细,1
good,好吃,3
fear,厉害,1
good,别有风味,1
good,均匀,1
good,朋友,1
good,好吃,1
disgust,复杂,1
good,喜欢,1
disgust,无中生有,1
good,师傅,1
good,一定,1
good,均匀,1
good,好吃,1
good,重要,1
sad,后悔,1
good,详细,2
disgust,多余,2
good,一定,1
disgust,废话,1
good,新鲜,1
good,均匀,1
happy,舒服,1
happy,轻松,1
good,干净,1
good,不错,2
good,好吃,4
happy,快乐,1
disgust,多余,2
disgust,油腻,1
anger,爆发,1
good,一定,1
good,确实,1
good,均匀,3
good,最好,1
good,好吃,1
good,入味,2
good,窍门,1
good,恰到好处,1
good,好吃,1
happy,起来,1
disgust,失败,1
good,喜欢,1
happy,乐观,1
disgust,捧场,1
good,一定,2
good,确实,3
good,讲究,1
good,均匀,1
good,值得,1
disgust,多此一举,1
happy,摆脱,1
good,好吃,1
good,肯定,1
disgust,复杂,1
good,相信,1
disgust,大胆,1
good,入味,1
disgust,杂质,1
disgust,麻烦,1
good,一定,1
good,快速,1
good,确实,1
good,美味,1
good,讲究,1
good,干净,1
good,完美,1
happy,红红火火,1
happy,起来,1
disgust,蛋白质,1
good,必须,1
good,入味,1
good,一定,1
good,美味,1
good,均匀,1
good,朋友,1
good,不错,1
good,好吃,3
fear,不利,1
good,完美,1
good,相信,1
good,喜好,1
happy,起来,1
good,细腻,1
good,喜欢,4
good,必须,1
good,一定,2
good,均匀,1
good,功劳,1
good,好吃,4
good,拿手,1
surprise,惊异,1
happy,起来,1
good,鸿运,1
good,入味,1
good,师傅,1
disgust,难吃,1
good,一定,1
fear,不好意思,2
good,干净,1
good,好吃,2
happy,起来,1
good,详细,1
good,喜欢,1
good,必须,1
good,入味,1
good,师傅,1
good,一定,1
disgust,大杂烩,2
good,干净,1
good,不愧,1
good,浓郁,1
disgust,不了,2
good,一定,1
good,均匀,1
good,经典,1
good,干净,1
good,重要,1
happy,起来,1
good,一定,2
disgust,烦躁,1
disgust,没意思,1
good,干净,3
good,不错,1
good,好吃,1
good,无比,1
good,鲜美,1
happy,起来,3
good,勤快,1
sad,不行,1
good,清香,1
disgust,异味,1
good,一定,1
good,一级,1
good,葱白,1
good,肯定,1
good,实在,1
good,拿手,1
disgust,偷懒,1
good,一定,2
happy,嘻嘻,1
good,均匀,3
good,最好,1
good,好吃,2
good,红心,1
good,实在,1
good,重要,2
happy,起来,1
disgust,拆台,1
good,饱满,2
good,必须,1
good,师傅,2
disgust,废话,1
good,精彩,1
good,讲究,1
good,结实,2
good,均匀,2
disgust,小看,1
good,有头有尾,1
good,其实,1
good,好吃,1
good,肯定,1
disgust,偷偷,1
happy,起来,1
good,入味,1
good,师傅,1
good,表扬,1
good,一定,4
disgust,搅和,1
disgust,不好,1
good,少不了,1
good,主角,1
good,均匀,3
good,干净,2
good,好吃,1
happy,红红火火,2
good,必须,1
good,师傅,1
good,一定,1
good,快速,1
disgust,忽悠,1
good,鉴定,1
good,朋友,1
good,干净,1
happy,享受,1
good,好吃,1
disgust,不够,1
good,满意,2
happy,起来,1
good,必须,1
good,一定,1
happy,惊喜,1
good,干脆,1
good,干脆,1,happy,干脆,1
good,均匀,1
anger,变色,1
good,好吃,1
good,无比,1
good,鲜美,1
happy,起来,1
good,神仙,1
good,入味,1
good,师傅,1
good,俱佳,1
good,均匀,1
disgust,颠覆,1
good,好吃,4
happy,红红火火,3
good,入味,1
good,师傅,1
disgust,借口,1
good,一定,3
good,美味,1
good,新鲜,1
good,均匀,1
happy,大吉,1
good,节节,1
happy,拜年,4
good,帮助,1
good,贵宾,1
good,好吃,1
good,实在,1
disgust,复杂,3
good,重要,1
happy,起来,1
good,奖励,1
good,好听,1
disgust,多余,1
good,兴致,1
good,金榜题名,1
good,一定,1
good,少不了,1
happy,平平,1
good,均匀,1
good,好吃,1
good,肯定,2
good,不愧,1
good,详细,1
good,认真,1
good,稀饭,1
good,喜欢,1
good,神仙,1
good,一定,1
disgust,不好,1
good,均匀,1
happy,舒服,1
happy,快乐,1
happy,起来,2
good,财运,1
anger,上火,1
good,师傅,1
good,一定,2
good,具体,1
good,干净,2
happy,开胃,1
good,其实,1
fear,厉害,1
happy,起来,1
good,认真,1
good,师父,1
good,一定,2
happy,开胃,2
good,完美,1
good,相信,1
surprise,不得了,1
disgust,大胆,1
good,爽口,1
good,真正,1
good,一定,1
happy,拜年,1
good,好吃,3
good,大方,1
good,乖乖,2
happy,红包,1
good,鲜美,1
good,入味,2
good,师傅,1
good,实在,1
happy,起来,1
good,爽口,1
good,一定,1
good,具体,1
good,好吃,1
anger,揉搓,1
good,秀雅,1
good,相信,2
happy,起来,4
good,博大精深,1
good,一定,1
good,先进,1
good,均匀,2
good,脆爽,2
good,不错,2
good,帮助,1
good,完美,2
good,见解,1
good,入味,1
good,真正,1
happy,舒服,1
good,干净,3
good,好吃,1
disgust,无味,1
good,实在,1
anger,揉搓,3
good,清新,3
good,鲜美,2
happy,起来,3
disgust,多余,1
happy,放心,2
good,讲究,1
good,均匀,2
happy,轻松,1
good,干净,2
good,脆爽,1
good,好吃,2
good,帮助,1
good,完美,1
disgust,复杂,1
good,相信,1
disgust,黄色,1
good,清爽,1
good,清爽,1,happy,清爽,1
good,喜欢,1
good,一定,2
good,快速,1
disgust,买好,1
good,均匀,1
happy,持家,1
happy,清明,1
happy,起来,1
good,入味,1
good,翠绿,1
good,一定,1
good,鲜嫩,2
good,完美,1
good,认真,1
good,入味,1
good,干净,1
good,好吃,3
good,实在,1
good,相信,1
happy,起来,2
good,独特,1
good,详细,1
disgust,下水,1
happy,放心,1
disgust,异味,1
good,一定,1
good,光滑,1
good,新鲜,1
disgust,包子,1
good,好吃,2
good,实在,2
good,重要,1
happy,起来,1
disgust,随便,2
good,稀饭,1
good,均匀,3
good,重要,1
happy,起来,1
good,详细,1
good,认真,2
good,一定,1
disgust,不好,1
good,均匀,3
good,干净,1
good,好吃,2
anger,揉搓,1
happy,起来,1
disgust,黄色,1
good,认真,1
disgust,多余,1
good,鲜红,1
good,一定,1
good,均匀,2
good,干净,1
good,好吃,2
good,重要,1
good,无比,1
good,详细,1
good,认真,1
happy,放心,1
good,神仙,1
good,师傅,1
good,划一,1
good,一定,1
good,均匀,4
good,冷静,1
good,好吃,6
good,完美,1
good,认真,1
good,入味,1
good,丰富,1
good,一定,1
good,快速,1
good,献身,1
good,均匀,3
good,帮助,1
good,无比,1
good,鲜美,1
happy,起来,1
good,一定,1
disgust,麻烦,1
good,均匀,1
happy,成功,1
happy,好玩,1
good,认真,1
good,适口,1
good,一定,1
good,光滑,1
good,精心,1
good,均匀,3
good,干净,1
good,灵性,1
good,重要,1
sad,后悔,1
good,独特,1
good,鲜红,1
good,入味,1
disgust,搅和,1
good,宾客,1
good,健康,1
good,其实,1
good,好吃,4
disgust,偷偷,1
good,喜欢,1
good,上劲,2
good,均匀,3
good,干净,1
good,实在,1
good,浓郁,1
disgust,过度,1
good,相信,1
disgust,疑问,1
happy,起来,1
good,能耐,1
good,一定,1
good,干净,3
good,健康,1
happy,起来,1
good,一定,1
disgust,忽悠,1
disgust,捣乱,1
good,讲究,1
good,干净,2
good,最好,1
good,实在,1
good,喜欢,1
good,入味,1
good,一定,1
good,均匀,1
anger,变色,1
good,重要,1
good,丁香,1
good,一定,1
good,干净,1
good,最好,1
happy,精神,1
happy,起来,1
good,师傅,1
good,耐心,1
good,一定,1
good,新鲜,1
good,好吃,2
good,完美,1
good,重要,1
happy,起来,1
good,醇厚,1
good,入味,1
disgust,搅和,1
good,值得,1
good,好吃,2
good,完美,1
good,大方,1
happy,起来,1
good,饱满,1
good,丰富,1
good,均匀,3
good,重要,1
happy,起来,1
good,入味,2
good,新鲜,1
fear,重点,1
good,好吃,1
happy,起来,1
good,认真,1
good,丁香,1
good,喜欢,1
good,丰富,1
disgust,搅和,1
good,其实,1
good,好吃,1
good,大手笔,1
good,堪称一绝,1
happy,起来,1
good,耐心,1
good,均匀,2
disgust,偷偷,1
disgust,背后,1
fear,厉害,3
happy,起来,1
good,名不虚传,1
good,入味,1
good,均匀,1
good,好吃,2
good,重要,1
happy,起来,2
good,喜欢,1
disgust,麻烦,1
good,一定,1
good,下饭,2
good,干净,1
good,好吃,1
good,鲜嫩,1
good,一定,1
good,肯定,1
good,相信,1
good,师傅,1
good,上劲,1
good,均匀,4
good,干净,1
anger,变色,1
happy,起来,1
good,入味,2
good,师傅,1
good,均匀,1
good,最好,1
good,好吃,1
good,拿手,1
good,认真,1
good,入味,1
good,一定,1
good,新鲜,1
good,均匀,2
good,值得,1
good,其实,1
good,好吃,2
good,大礼,1
good,耐心,1
disgust,麻烦,3
good,一定,1
good,确实,1
good,均匀,1
good,朋友,1
good,好吃,1
happy,起来,3
good,均匀,2
good,干净,2
happy,起来,1
good,师傅,1
good,一定,3
good,确实,1
good,好吃,1
happy,起来,2
good,一定,1
good,均匀,3
good,最好,1
good,一举两得,1
surprise,奇怪,1
good,好吃,3
anger,上火,2
good,根本,1
good,一定,1
good,美味,1
good,讲究,1
happy,起来,1
good,入味,3
good,师傅,1
good,均匀,2
happy,舒服,2
good,好吃,2
good,无比,1
happy,起来,1
good,一定,1
good,快速,1
good,均匀,3
good,干净,4
fear,重点,1
sad,拜拜,2
happy,起来,4
good,师傅,1
disgust,生气,1
good,均匀,1
good,下饭,1
good,干净,1
good,其实,1
good,点缀,1
happy,起来,1
good,一流,1
good,入味,2
good,一定,1
disgust,不好,1
good,随机应变,1
good,均匀,2
good,不愧,1
good,点缀,1
good,鲜美,4
good,确实,1
good,美味,1
good,下饭,1
good,一定,1
good,清新,1
good,筋道,1
good,好吃,1
good,回味无穷,2
happy,起来,1
